Date,Close
2015-11-25,10000.0
2015-11-26,10000.942549258736
2015-11-27,10001.885187357382
2015-11-28,10002.827914304313
2015-11-29,10003.7707301079
2015-11-30,10004.713634776523
2015-12-01,10005.656628318555
2015-12-02,10006.599710742374
2015-12-03,10007.542882056356
2015-12-04,10008.486142268881
2015-12-05,10009.429491388328
2015-12-06,10010.372929423074
2015-12-07,10011.316456381504
2015-12-08,10012.260072271998
2015-12-09,10013.203777102937
2015-12-10,10014.147570882706
2015-12-11,10015.091453619687
2015-12-12,10016.035425322265
2015-12-13,10016.979485998825
2015-12-14,10017.923635657755
2015-12-15,10018.867874307442
2015-12-16,10019.81220195627
2015-12-17,10020.756618612633
2015-12-18,10021.701124284918
2015-12-19,10022.645718981516
2015-12-20,10023.590402710815
2015-12-21,10024.535175481209
2015-12-22,10025.480037301091
2015-12-23,10026.424988178855
2015-12-24,10027.370028122892
2015-12-25,10028.3151571416
2015-12-26,10029.260375243373
2015-12-27,10030.205682436608
2015-12-28,10031.151078729703
2015-12-29,10032.096564131056
2015-12-30,10033.042138649065
2015-12-31,10033.98780229213
2016-01-01,10034.93355506865
2016-01-02,10035.87939698703
2016-01-03,10036.82532805567
2016-01-04,10037.771348282971
2016-01-05,10038.71745767734
2016-01-06,10039.663656247178
2016-01-07,10040.609944000893
2016-01-08,10041.55632094689
2016-01-09,10042.502787093576
2016-01-10,10043.449342449358
2016-01-11,10044.395987022644
2016-01-12,10045.342720821845
2016-01-13,10046.289543855371
2016-01-14,10047.236456131632
2016-01-15,10048.183457659039
2016-01-16,10049.130548446004
2016-01-17,10050.077728500943
2016-01-18,10051.024997832266
2016-01-19,10051.97235644839
2016-01-20,10052.91980435773
2016-01-21,10053.867341568703
2016-01-22,10054.814968089724
2016-01-23,10055.762683929213
2016-01-24,10056.710489095589
2016-01-25,10057.65838359727
2016-01-26,10058.606367442679
2016-01-27,10059.554440640233
2016-01-28,10060.502603198356
2016-01-29,10061.450855125471
2016-01-30,10062.399196430002
2016-01-31,10063.347627120373
2016-02-01,10064.296147205006
2016-02-02,10065.244756692331
2016-02-03,10066.193455590772
2016-02-04,10067.142243908758
2016-02-05,10068.091121654716
2016-02-06,10069.040088837075
2016-02-07,10069.989145464266
2016-02-08,10070.938291544719
2016-02-09,10071.887527086865
2016-02-10,10072.836852099137
2016-02-11,10073.786266589968
2016-02-12,10074.735770567791
2016-02-13,10075.685364041043
2016-02-14,10076.635047018155
2016-02-15,10077.584819507567
2016-02-16,10078.534681517714
2016-02-17,10079.484633057034
2016-02-18,10080.434674133967
2016-02-19,10081.38480475695
2016-02-20,10082.335024934426
2016-02-21,10083.285334674832
2016-02-22,10084.235733986614
2016-02-23,10085.186222878212
2016-02-24,10086.13680135807
2016-02-25,10087.087469434633
2016-02-26,10088.038227116345
2016-02-27,10088.989074411651
2016-02-28,10089.940011329
2016-02-29,10090.891037876836
2016-03-01,10091.84215406361
2016-03-02,10092.793359897769
2016-03-03,10093.744655387763
2016-03-04,10094.696040542043
2016-03-05,10095.64751536906
2016-03-06,10096.599079877267
2016-03-07,10097.550734075116
2016-03-08,10098.50247797106
2016-03-09,10099.454311573556
2016-03-10,10100.406234891057
2016-03-11,10101.35824793202
2016-03-12,10102.3103507049
2016-03-13,10103.262543218158
2016-03-14,10104.21482548025
2016-03-15,10105.167197499637
2016-03-16,10106.119659284777
2016-03-17,10107.072210844133
2016-03-18,10108.024852186165
2016-03-19,10108.977583319336
2016-03-20,10109.930404252109
2016-03-21,10110.883314992949
2016-03-22,10111.83631555032
2016-03-23,10112.789405932686
2016-03-24,10113.742586148517
2016-03-25,10114.69585620628
2016-03-26,10115.64921611444
2016-03-27,10116.602665881468
2016-03-28,10117.556205515833
2016-03-29,10118.509835026005
2016-03-30,10119.463554420456
2016-03-31,10120.417363707658
2016-04-01,10121.371262896084
2016-04-02,10122.325251994207
2016-04-03,10123.279331010503
2016-04-04,10124.233499953445
2016-04-05,10125.18775883151
2016-04-06,10126.142107653173
2016-04-07,10127.096546426916
2016-04-08,10128.051075161213
2016-04-09,10129.005693864547
2016-04-10,10129.960402545395
2016-04-11,10130.91520121224
2016-04-12,10131.87008987356
2016-04-13,10132.825068537843
2016-04-14,10133.780137213567
2016-04-15,10134.735295909219
2016-04-16,10135.690544633282
2016-04-17,10136.645883394243
2016-04-18,10137.60131220059
2016-04-19,10138.556831060807
2016-04-20,10139.512439983384
2016-04-21,10140.468138976808
2016-04-22,10141.423928049571
2016-04-23,10142.379807210162
2016-04-24,10143.335776467073
2016-04-25,10144.291835828793
2016-04-26,10145.247985303818
2016-04-27,10146.204224900643
2016-04-28,10147.160554627759
2016-04-29,10148.116974493661
2016-04-30,10149.07348450685
2016-05-01,10150.030084675816
2016-05-02,10150.986775009062
2016-05-03,10151.943555515083
2016-05-04,10152.900426202381
2016-05-05,10153.857387079453
2016-05-06,10154.814438154803
2016-05-07,10155.77157943693
2016-05-08,10156.728810934339
2016-05-09,10157.686132655532
2016-05-10,10158.643544609013
2016-05-11,10159.601046803285
2016-05-12,10160.558639246858
2016-05-13,10161.516321948235
2016-05-14,10162.474094915922
2016-05-15,10163.431958158431
2016-05-16,10164.38991168427
2016-05-17,10165.347955501946
2016-05-18,10166.306089619971
2016-05-19,10167.264314046857
2016-05-20,10168.222628791114
2016-05-21,10169.181033861258
2016-05-22,10170.1395292658
2016-05-23,10171.098115013254
2016-05-24,10172.056791112138
2016-05-25,10173.015557570965
2016-05-26,10173.974414398255
2016-05-27,10174.933361602523
2016-05-28,10175.89239919229
2016-05-29,10176.851527176072
2016-05-30,10177.810745562392
2016-05-31,10178.770054359771
2016-06-01,10179.729453576729
2016-06-02,10180.688943221789
2016-06-03,10181.648523303475
2016-06-04,10182.608193830309
2016-06-05,10183.567954810818
2016-06-06,10184.527806253527
2016-06-07,10185.487748166963
2016-06-08,10186.447780559653
2016-06-09,10187.407903440124
2016-06-10,10188.368116816906
2016-06-11,10189.32842069853
2016-06-12,10190.288815093525
2016-06-13,10191.249300010422
2016-06-14,10192.209875457755
2016-06-15,10193.170541444053
2016-06-16,10194.131297977854
2016-06-17,10195.09214506769
2016-06-18,10196.053082722097
2016-06-19,10197.014110949613
2016-06-20,10197.975229758771
2016-06-21,10198.936439158113
2016-06-22,10199.897739156175
2016-06-23,10200.859129761497
2016-06-24,10201.820610982619
2016-06-25,10202.782182828083
2016-06-26,10203.74384530643
2016-06-27,10204.705598426202
2016-06-28,10205.667442195943
2016-06-29,10206.629376624198
2016-06-30,10207.59140171951
2016-07-01,10208.553517490427
2016-07-02,10209.515723945495
2016-07-03,10210.47802109326
2016-07-04,10211.440408942271
2016-07-05,10212.402887501079
2016-07-06,10213.36545677823
2016-07-07,10214.328116782279
2016-07-08,10215.290867521775
2016-07-09,10216.25370900527
2016-07-10,10217.216641241317
2016-07-11,10218.17966423847
2016-07-12,10219.142778005285
2016-07-13,10220.105982550318
2016-07-14,10221.069277882123
2016-07-15,10222.032664009259
2016-07-16,10222.996140940282
2016-07-17,10223.959708683753
2016-07-18,10224.92336724823
2016-07-19,10225.887116642272
2016-07-20,10226.850956874443
2016-07-21,10227.814887953304
2016-07-22,10228.778909887416
2016-07-23,10229.743022685345
2016-07-24,10230.707226355653
2016-07-25,10231.671520906908
2016-07-26,10232.635906347674
2016-07-27,10233.600382686518
2016-07-28,10234.564949932008
2016-07-29,10235.529608092713
2016-07-30,10236.4943571772
2016-07-31,10237.45919719404
2016-08-01,10238.424128151806
2016-08-02,10239.389150059067
2016-08-03,10240.354262924397
2016-08-04,10241.319466756368
2016-08-05,10242.284761563555
2016-08-06,10243.250147354533
2016-08-07,10244.215624137876
2016-08-08,10245.181191922162
2016-08-09,10246.146850715968
2016-08-10,10247.112600527871
2016-08-11,10248.078441366451
2016-08-12,10249.04437324029
2016-08-13,10250.010396157964
2016-08-14,10250.976510128057
2016-08-15,10251.942715159152
2016-08-16,10252.90901125983
2016-08-17,10253.875398438675
2016-08-18,10254.841876704271
2016-08-19,10255.808446065204
2016-08-20,10256.775106530062
2016-08-21,10257.741858107429
2016-08-22,10258.708700805895
2016-08-23,10259.675634634048
2016-08-24,10260.642659600477
2016-08-25,10261.609775713772
2016-08-26,10262.576982982526
2016-08-27,10263.544281415328
2016-08-28,10264.511671020773
2016-08-29,10265.479151807453
2016-08-30,10266.446723783964
2016-08-31,10267.414386958899
2016-09-01,10268.382141340855
2016-09-02,10269.349986938429
